Model,length,Query Length,Hardware,Host,PUE,WUE (Site),WUE (Source),Size,Mean Max Energy (Wh),Mean Min Energy (Wh),Mean Max Carbon (gCO2e),Mean Min Carbon (gCO2e),"Mean Max Water (Site, mL)","Mean Min Water (Site, mL)","Mean Max Water (Source, mL)","Mean Min Water (Source, mL)",Energy Consumption of 1 Billion Prompts (MWh),Carbon Emissions of 1 Billion Prompts (TonsCO2e),Water Consumption of 1 Billion Prompts (Kiloliter),Household Energy Equiv. – 1B Prompts (MWh),People Annual Drinking Water Equiv. – 1B Prompts (kL),Gasoline Car Equiv. – 1B Prompts (TonsCO2e),Atlantic Flight Equiv. – 1B Prompts (TonsCO2e)
GPT-5 (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,21.350961785457542,17.9710215452155,7.259327007055567,6.11014732537327,5.719007621104698,4.813666485325578,92.8766837667403,78.1739437216874,19660.99166533652,6684.737166214419,90791.650797429,17955.243529987692,75659.70899785751,1453.2037317857432,13.263367393282577
Claude 4.5 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.126584157280372,4.315025958530687,1.5379752471841115,1.294507787559206,0.8094606564126904,0.6813198881890559,26.248110885275505,22.092932907677117,4720.80505790553,1416.2415173716588,24915.912168777184,4311.237495804137,20763.260140647653,307.8785907329693,2.810003010658053
GPT-5 (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,12.60157329481305,10.606695260863845,4.284534920236438,3.606276388693708,3.375421418253495,2.8410790877313867,54.81684383243675,46.13912438475772,11604.134277838448,3945.405654465073,53586.234361589675,10597.382902135569,44655.19530132473,857.6968814054507,7.828185822351334
DeepSeek V3.2,Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,13.92080728038496,11.717089378755114,8.352484368230975,7.030253627253067,13.15351869012752,11.07126555472924,83.7475765987959,70.49000970259075,12818.948329570036,7691.368997742022,89231.18527312172,11706.80212746122,74359.32106093477,1672.03673863957,15.260652773297664
Grok 4,Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Large,6.600807920336208,5.555874369696411,2.54131104932944,2.1390116323331183,1.5841939008806898,1.3334098487271382,20.739738485696364,17.456557269586117,6078.341145016309,2340.1613408312787,20556.94975244516,5550.9964794669495,17130.791460370965,508.73072626766935,4.643177263554125
GPT-5 mini (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,14.560550537797164,11.469997802042364,4.950587182851037,3.899799252694404,3.900147465481382,3.0723208398327757,63.33839483941767,49.89449043888428,13015.274169919763,4425.19321777272,60102.67679180804,11886.095132346816,50085.56399317337,961.9985256027652,8.780145273358572
Kimi K2 Thinking,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,5.343893893843777,4.497934719129284,1.6031681681531331,1.3493804157387852,0.8437727200805966,0.7102002188098873,27.36073673648015,23.02942576194194,4920.914306486531,1476.2742919459597,25972.067718656283,4493.985668024229,21643.389765546905,320.92919390129555,2.9291156586229357
GPT-5 (low),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,4.519045758658899,3.8036632498676672,1.536475557944026,1.293245504955007,1.2104586853550623,1.018838370500268,19.657849050166217,16.54593513692435,4161.354504263285,1414.8605314495169,19216.540621472952,3800.3237481856486,16013.78385122746,307.57837640206884,2.8072629592252314
GPT-5 mini (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,3.206801604400306,2.526141251223741,1.0903125454961042,0.8588880254160718,0.8589647154643677,0.676644978006359,13.94958697914133,10.98871444282327,2866.4714278120227,974.600285456088,13236.955557717663,2617.7821258557287,11030.796298098054,211.86962727306263,1.933730725111286
Claude 4 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.1150302673603765,4.30530109429414,1.534509080208113,1.291590328288242,0.80763635800427,0.679784383309601,26.188954968885128,22.04314160278599,4710.165680827257,1413.049704248177,24859.758656492497,4301.521169705258,20716.46554707708,307.1847183148211,2.8036700481114623
o3,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,3.902510664384452,3.284728057443025,1.326853625890713,1.1168075395306287,1.0453153565315494,0.8798378725293816,16.975921390072365,14.28856704987716,3593.6193609137385,1221.830582710671,16594.820834505223,3281.8441652180263,13829.017362087689,265.6153440675372,2.424267029187839
Claude 4.5 Haiku,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.048006080090495,4.248887096387122,1.5144018240271484,1.274666128916137,0.7970535915932362,0.6708769099558616,25.84579113006334,21.754301933502067,4648.446588238809,1394.5339764716427,24534.011782557252,4245.156701587954,20445.009818797713,303.15956010253103,2.7669324929992913
Gemini 2.5 Pro Vertex,Short,300,TPU V6e,Google,1.09,0.3,1.1,Large,2.196409614581873,2.0537856136349983,0.5073706209684127,0.4744244767496847,0.6045164076830843,0.565262095495871,2.416050576040061,2.2591641749984985,2125.097614108436,490.8975488590487,2922.496627108758,1940.7284147109008,2435.4138559239645,106.7168584476193,0.9740030731330332
Gemini 2.5 Pro (AI Studio),Short,300,TPU V6e,Google,1.09,0.3,1.1,Large,2.3975585805046262,2.2418729583939365,0.5538360320965688,0.5178726533889995,0.6598785083957689,0.6170292546038358,2.6373144385550895,2.4660602542333305,2319.7157694492817,535.854342742784,3190.1412278940124,2118.4618899080197,2658.4510232450107,116.49007450930088,1.063203060997587
o4-mini (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,5.600807412595323,4.412006849972436,1.90427452028241,1.5000823289906289,1.50021627123089,1.1817875490997596,24.36351224478965,19.192229797380097,5006.4071312838805,1702.1784246365191,23118.8729312502,4572.061307108567,19265.7274427085,370.0387879644607,3.3773381441200776
DeepSeek V3.2 Exp,Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,13.31701710842899,11.20888153790737,7.990210265057394,6.7253289227444215,12.583008291428968,10.591069169676254,80.11517492430882,67.43263133205073,12262.94932316818,7357.769593900907,85360.94185873237,11199.04047777916,71134.11821561032,1599.515129108893,14.598749194247832
DeepSeek V3 (DeepSeek),Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,2.2720914418072677,1.9124105351183436,1.363254865084361,1.1474463210710055,2.146858055250962,1.807002080426781,13.668902113912525,11.505061779271951,2092.2509884628053,1255.3505930776837,14563.912014431113,1910.731496313064,12136.59334535926,272.9023028429747,2.490774986265245
Grok 3 mini Reasoning (high) Fast,Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Medium,0.3739009340556086,0.2945385121714111,0.1439518596114093,0.1133973271859933,0.089736224173346,0.0706892429211386,1.1747967348027222,0.925440005242574,334.2197231135098,128.6745933987013,1130.3311035698905,305.2234914278628,941.942586308242,27.972737695369847,0.2553067329339311
Grok 3 mini Reasoning (high),Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Medium,0.3753439061301546,0.2956752059029076,0.1445074038601095,0.1138349542726194,0.0900825374712371,0.0709620494166978,1.179330553060946,0.9290114969469356,335.5095560165312,129.1711790663645,1134.693318447908,306.4014210196632,945.5777653732569,28.080691101383582,0.2562920219570724
o1,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,11.515643219753544,9.69267213761588,3.915318694716204,3.2955085267893995,3.0845472910054132,2.596251465432825,50.09304800592791,42.16312379862907,10604.157678684713,3605.4136107528025,48968.48528049761,9684.162263639008,40807.07106708134,783.7855675549571,7.153598434033338
DeepSeek V3 (DeepSeek),Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,2.2659916832781013,1.907276392073652,1.359595009966861,1.1443658352441917,2.1410945038848204,1.802150921644396,13.632205966601058,11.474174774715092,2086.6340376758767,1251.980422605526,14524.81308342268,1905.6018608912116,12104.010902852237,272.16965708815786,2.4840881400903294
DeepSeek R1 (Azure),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,4.999446800300058,4.20801493933383,1.69981191210202,1.430725079373502,1.3391375357946584,1.1271468587501328,21.747593581305253,18.304864986102157,4603.730869816944,1565.2684957377608,21259.3714809761,4204.32042905657,17716.14290081342,340.2757599429915,3.105691459797145
Gemini 2.5 Flash (Vertex),Short,300,TPU V6e,Google,1.09,0.3,1.1,Large,2.146923203904386,2.0075126062482567,0.4959392601019132,0.4637354120433474,0.5908962946525833,0.5525264053894284,2.3616155242948245,2.2082638668730827,2077.217905076321,479.8373360726303,2856.6510456049596,1897.0026530377363,2380.542538004133,104.31246436361528,0.952058206493314
GPT-5 nano (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Small,7.2555366710107325,5.7337761707238375,2.4668824681436488,1.949483898046105,1.94344732259216,1.5358329028724562,31.56158451889668,24.941926342648692,6494.656420867284,2208.1831830948768,29991.395543504997,5931.193078417611,24992.829619587497,480.0398224119298,4.381315839473962
GPT-4.1,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,1.066328765724318,0.8975247773693729,0.3625517803462681,0.3051584243055868,0.2856237765332994,0.2404084225096534,4.638530130900783,3.904232781556772,981.9267715468455,333.8551023259275,4534.397555750255,896.7367776683523,3778.66462979188,72.57719615781032,0.6624109173133481
GPT-5 nano (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Small,3.647839641581092,2.8827496793019116,1.2402654781375713,0.9801348909626502,0.9770999039949352,0.7721650926701548,15.868102440877747,12.539961104963314,3265.2946604415015,1110.2001845501106,15078.664271253076,2982.0042561109603,12565.553559377564,241.3478662065458,2.202778143948632
o3-mini (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,6.066108258216781,4.778545166137918,2.0624768077937055,1.6247053564868927,1.6248504263080663,1.2799674552155136,26.38757092324299,20.78667147269994,5422.32671217735,1843.5910821402988,25039.530138733255,4951.896540801233,20866.275115611046,400.7806700304998,3.657918813770434
Grok 3 Fast,Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Large,2.086112969204976,1.7558731776135168,0.8031534931439157,0.676011173381204,0.5006671126091942,0.421409562627244,6.554566949242035,5.516953524061668,1920.9930734092463,739.5823332625598,6496.79857427007,1754.331573889723,5413.998811891725,160.7787681005565,1.467425264409841
GPT-5 (minimal),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,1.3793713434234556,1.161011498245467,0.4689862567639749,0.3947439094034586,0.3694744669884254,0.3109852227443213,6.00026534389203,5.050400017367779,1270.1914208344608,431.8650830837168,5865.562525496279,1159.9921651456264,4887.968771246899,93.88371371385148,0.8568751648486445
GPT-4.1 mini,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,0.7015069059436838,0.552608409167261,0.2385123480208525,0.1878868591168687,0.1879036355206296,0.1480201095983734,3.051555040855025,2.403846579877584,627.0576575554724,213.19960356886065,2895.662682925806,572.6553950278286,2413.052235771506,46.34773990627405,0.423015086446152
DeepSeek V3 (Azure),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,1.147020239659417,0.9654424773387742,0.3899868814842017,0.3282504422951832,0.3072375641944866,0.2586006635728858,4.989538042518464,4.199674776423667,1056.2313584990957,359.1186618896924,4877.525523354751,964.5948479443796,4064.6046027956263,78.06927432384619,0.7125370275589136
GPT-5 mini (minimal),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,0.6957665604791009,0.548086481944055,0.2365606305628943,0.1863494038609786,0.1863660429854734,0.1468088790921575,3.026584538084089,2.3841761964566377,621.9265212115778,211.45501721193648,2871.967828309179,567.969425763998,2393.3065235909826,45.96848200259489,0.419553605579239
Mistral Medium 3,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,1.5327595089140928,1.290117720930519,0.5211382330307917,0.4386400251163765,0.4105605827448462,0.3455672466778175,6.667503863776304,5.612012086047758,1411.4386149223062,479.8891290735841,6517.821889623363,1288.985036458727,5431.518241352803,104.32372371164873,0.9521609703840954
GPT-4o (Aug),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,0.8216776983024202,0.6916029248609062,0.2793704174228229,0.2351449944527081,0.2200922406167197,0.1852507834448856,3.574297987615528,3.0084727231449424,756.6403115816632,257.25770593776554,3494.0568674110373,690.9957183394185,2911.7140561758647,55.925588247340336,0.5104319562257252
Llama 4 Maverick,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.1013914679556192,0.0755874223024894,0.0304174403866857,0.0226762266907468,0.0160091791508872,0.0119348561530246,0.5191243159327706,0.3870076021887462,88.48944512905437,26.546833538716314,467.03797671271445,80.81227865667066,389.19831392726206,5.7710507692861555,0.0526722887672942
Llama 3.1 405B Latency Optimized,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,1.4507428347447249,1.2210846050748885,0.4352228504234174,0.3663253815224665,0.2290646581175882,0.1928028323802455,7.427803313892992,6.251953177983428,1335.9137199098068,400.77411597294207,7050.811991187127,1220.0125295979972,5875.676659322607,87.12480782020481,0.7951867380415517
Llama 3.1 405B Standard,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,6.188820399578886,5.209106074839895,1.8566461198736657,1.5627318224519686,0.9771821683545612,0.822490432869457,31.6867604458439,26.670623103180265,5698.96323720939,1709.6889711628169,30078.52807512409,5204.5326367209045,25065.440062603408,371.6715154701776,3.3922400221484463
GPT-4o (Nov),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,0.9809598551673562,0.8256700971761985,0.3335263507569011,0.2807278330399075,0.2627571040626846,0.2211616331721959,4.267175369977998,3.591664922716463,903.3149761717774,307.1270918984043,4171.379514964671,824.9451837185183,3476.1495958038927,66.76675910834877,0.6093791505920719
Llama 3.3 70B,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,0.4314564181891001,0.3398775448400554,0.12943692545673,0.1019632634520166,0.0681246976088053,0.0536648755010613,2.209056861128192,1.740173029581084,385.6669815145778,115.70009445437331,2035.5097319095712,352.20728905440893,1696.258109924643,25.152194446602895,0.2295636794729629
GPT-5 nano (minimal),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Small,0.2389676810947115,0.1888471187677308,0.0812490115722019,0.0642080203810284,0.0640092002932262,0.0505840496699278,1.0395094127619948,0.8214849666396291,213.9073999312212,72.7285159766152,987.7938146823892,195.34922368148057,823.1615122353245,15.810546951438088,0.1443026110647127
Llama 4 Scout,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.0994416879380209,0.0741338597043853,0.0298325063814062,0.0222401579113156,0.0157013191481085,0.0117053462691134,0.5091414422426672,0.379565361686453,86.78777382120316,26.036332146360948,458.0567346731712,79.25824093260563,381.713945560976,5.660072205730641,0.0516593891792876
GPT-4.1 nano,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Small,0.1867564735127699,0.1475865764464211,0.0634972009943417,0.0501794359917831,0.0500240554052062,0.0395321186910056,0.812390659780549,0.642001607541932,167.17152497959552,56.838318493062495,771.9742207093464,152.66805934209637,643.311850591122,12.356156194144022,0.112774441454489
Llama 3.1 70B Standard,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,8.005882181421146,6.306591964770796,2.401764654426344,1.8919775894312387,1.2640866602243916,0.9957776786480204,40.99011676887627,32.28975085962647,7156.237073095971,2146.8711219287916,37769.865983687574,6535.376322462074,31474.888319739646,466.7111134627808,4.259664924461888
Llama 3.1 70B Latency Optimized,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,0.4575713170949856,0.360449420352146,0.1372713951284956,0.1081348261056438,0.0722481026992082,0.0569130663713914,2.3427651435263264,1.8455010322029872,409.01036872356576,122.70311061706973,2158.7136723999565,373.52545088910114,1798.9280603332973,26.674589264580376,0.2434585528116462
Claude 3 Haiku,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,0.7987275312449676,0.6722858584542448,0.2396182593734903,0.2016857575362734,0.1261148733544685,0.1061503987033018,4.089484959974235,3.442103595285733,735.5066948496063,220.6520084548819,3881.9269136588696,671.6956117348003,3234.939094715725,47.96782792497433,0.4378016040771466
Llama 3.1 8B,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.0841147284811992,0.0627075988913648,0.0252344185443597,0.0188122796674094,0.013281272918084,0.0099011998249523,0.4306674098237402,0.321062906323788,73.41116368628207,22.023349105884623,387.45639444528234,67.04215861760919,322.88032870440196,4.787684588235788,0.0436971212418345
Llama 3.2 11B (Vision),Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.2686515554154288,0.2002799543280627,0.0805954666246286,0.0600839862984188,0.0424186666445413,0.0316231506833783,1.3754959637269952,1.0254333661596815,234.4657548717458,70.33972646152372,1237.485573607298,214.12397705182264,1031.2379780060817,15.29124488293994,0.1395629493284201
Llama 3.2 1B,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Nano,0.1394085901445649,0.1028214575509069,0.0418225770433694,0.030846437265272,0.0220118826544049,0.0162349669817221,0.7137719815401722,0.5264458626606436,121.11502384773593,36.334507154320775,639.2323469184714,110.60732771482732,532.6936224320596,7.898805903113213,0.0720922760998428
Llama 3.2 90B (Vision),Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,1.475737481693357,1.242122502259214,0.442721244508007,0.3726367506777642,0.2330111813200037,0.1961246056198759,7.555775906269988,6.359667211567176,1358.9299919762857,407.6789975928857,7172.289452388522,1241.0319561427266,5976.9078769904345,88.62586904193167,0.8088868999858843
GPT-4o (May),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,1.0631508227131072,0.8948499150892653,0.3614712797224564,0.3042489711303502,0.2847725417981537,0.2396919415417674,4.624706078802015,3.892597130638304,979.000368901186,332.8601254264034,4520.883846390121,894.0642638366996,3767.403205325101,72.36089683182684,0.6604367567984194
GPT-4 Turbo,Short,300,DGX A100,Azure,1.12,0.3,4.35,Large,4.067228825647617,3.5930892175575493,1.38285780072019,1.2216503339695663,1.0894362925841832,0.962434611845772,17.692445391567134,15.629938096375334,3830.159021602583,1302.2540673448784,17687.127196186215,3497.8621201850074,14739.272663488511,283.0987102923649,2.583837435208092
GPT-4o mini,Short,300,DGX A100,Azure,1.12,0.3,4.35,Medium,1.126142142248781,1.0434793963044129,0.3828883283645856,0.3547829947435002,0.3016452166737805,0.2795034097243961,4.898718318782198,4.539135373924194,1084.8107692765966,368.835661554043,5009.501159552284,990.6947664626454,4174.584299626903,80.18166555522673,0.7318167887977042
o3-mini,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,1.2470638693544231,0.9823680638565796,0.4240017155805038,0.3340051417112371,0.334034965005649,0.2631343028187266,5.424727831691739,4.273301077776121,1114.7159666055015,379.0034286458704,5147.599088646118,1018.005448954796,4289.665907205098,82.392049705624,0.7519909298529174
o3-pro,Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,26.04484495319228,21.921844762722262,8.855247284085376,7.453427219325569,6.97629775531936,5.871922704300606,113.2950755463864,95.3600247178418,23983.344857957265,8154.337251705472,110751.66036192408,21902.598043796588,92293.05030160342,1772.6820112403202,16.1792405787807
Llama 3.2 3B,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Nano,0.2162494848841521,0.1594958187825,0.0648748454652456,0.04784874563475,0.034144655508024,0.0251835503340789,1.107197362606859,0.8166185921664003,187.87265183332607,56.361795549997815,991.5720803076808,171.57319802130235,826.3100669230674,12.252564249999526,0.1118289594245988
Claude 4.1 Opus,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,5.859175674148269,4.931645390749533,1.757752702244481,1.4794936172248596,0.9251330011813056,0.7786808511709787,29.998979451639144,25.250024400637606,5395.410532448902,1618.62315973467,28476.40885231452,4927.3155547478555,23730.340710262102,351.8745999423196,3.2115538883624404
Claude 4 Opus,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,2.3630864418568915,1.989000672969299,0.7089259325570675,0.5967002018907896,0.3731189118721408,0.3140527378372577,12.099002582307287,10.18368344560281,2176.0435574130956,652.8130672239287,11484.928838809748,1987.2543903315943,9570.774032341458,141.91588417911493,1.2952640222696998
Mistral Large 2 (AWS),Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,2.648345558257969,2.229102162463068,0.7945036674773909,0.6687306487389204,0.4181598249881005,0.3519634993362739,13.559529258280804,11.413003071810907,2438.7238603605188,731.6171581081556,12871.327827208044,2227.145077954812,10726.10652267337,159.04720828438167,1.4516213454526898
